pet_diseases,description,symptoms,first_aid,products/medicine
Feline panleukopenia,A viral cat disease similar to parvovirus in dogs. can be spread through direct and indirect contact to feces.,"Vomiting, diarrhea, dehydration, fever, loss of appetite.",No information available.,No information available.
Ear mites,Microscopic parasites in the ear canal that cause irritation.,"Head shaking, scratching at ears, dark waxy discharge, foul odor.","Clean ears gently with a vet-recommended ear cleanser.
apply over-the-counter ear mite medication.",Play pets ear doctor ear cleanser and gold medal pets ear mite & tick control
Minor cuts or scratches,Superficial wounds from play or accidents.,"Visible wound, light bleeding, mild swelling.","Clean the wound with warm water and mild antiseptic.
apply pet-safe antibiotic ointment.
bandage lightly if necessary.","Remedy + recovery medicated antiseptic, remedy + recovery's liquid bandage"
Upset stomach (mild gastroenteritis),A temporary digestive disturbance.,"Occasional vomiting, soft stool, or mild diarrhea.","Provide plain boiled chicken and rice for 1–2 days.
ensure access to fresh water to avoid dehydration.",No information available.
Hot spots (moist dermatitis),"Localized skin irritation, often caused by licking or scratching.","Red, moist, and irritated areas of skin.","Trim fur around the area to keep it dry.
clean with an antiseptic solution.
apply hydrocortisone spray or cream as directed.","Remedy + recovery medicated antiseptic, remedy + recovery hydrocortisone lotion"
Mild allergic reactions,"Reaction to environmental allergens, food, or insect bites.","Itchy skin, watery eyes, sneezing, or mild swelling.","Administer over-the-counter antihistamines like benadryl (dosage per vet's advice).
remove the allergen if identified.",No information available.
Dry or cracked paw pads,Common in extreme weather conditions or from walking on rough surfaces.,"Dry, rough, or cracked paw pads, limping.","Clean paws gently with warm water.
apply a pet-safe paw balm or coconut oil.",Safe house natural pet care solutions faw balm
Hairballs,"A natural result of grooming, causing occasional vomiting. commons in cats.","Gagging, retching, occasional vomiting of hairballs.","Provide hairball remedy paste or treats.
increase fiber intake (add pumpkin to their diet).
brush regularly to reduce loose fur.",Meow mix hairball control
Kidney failure,A life-threatening condition where the kidneys fail to filter waste.,"Increased thirst, reduced appetite, vomiting, weight loss.",No information available.,No information available.
Teething,Discomfort during the growth of new teeth. mostly happens to cats and dogs,"Chewing on objects, drooling, mild gum bleeding","Provide soft chew toys or frozen carrots.
rub gums gently with a cool, wet cloth.",Pet toy colorful rope knot ball teething chew toy
Dandruff (dry skin),"Flaky skin caused by dryness, diet, or mild allergies.","White flakes in fur, mild itching.","Add omega-3 fatty acids or fish oil to their diet.
bathe with a moisturizing, pet-safe shampoo.",Pet one wild salmon steak
Distemper,A viral disease related to human measles that affects domestic dogs as well as several species of wildlife,"Fever, nasal discharge, coughing, seizures.",No information available.,No information available.
Conjunctivitis (mild),"Inflammation of the eye's conjunctiva, often from irritation or dust.","Redness, watery discharge, mild squinting.","Flush eyes with pet-safe saline solution.
keep the area clean and monitor for improvement.",No information available.
Minor skin irritations,Itchy or red skin caused by mild exposure to irritants. mainly from from plants or mild allergies.,"Itching, redness, minor swelling.","Rinse affected areas with cool water.
apply aloe vera gel or a vet-approved soothing spray.",No information available.
Diabetes,A chronic condition causing high blood sugar levels.,"Increased thirst, frequent urination, weight loss, lethargy.",No information available.,No information available.
Obesity (early stage),Excess weight gain due to overeating or lack of exercise.,"Difficulty moving, visible fat, reduced stamina.","Adjust portion sizes and switch to a lower-calorie diet.
increase daily exercise and playtime.",No information available.
Mild sneezing or nasal irritation,"Often caused by dust, pollen, or mild colds.","Occasional sneezing, clear nasal discharge.","Use a humidifier to moisten air.
keep the pet away from irritants (dust, smoke).",No information available.
Overgrown nails,Long nails can cause discomfort or improper walking.,"Clicking nails on the floor, difficulty walking.","Trim nails with a pet nail clipper.
file sharp edges with an emery board.",No information available.
Minor stress or anxiety,Temporary stress caused by changes in environment or routine.,"Hiding, pacing, mild whining.","Provide a quiet, safe space.
use calming sprays or treats.
engage in calming activities like petting or play.",No information available.
Minor dental tartar,Early-stage plaque buildup on teeth.,"Yellowish tartar on teeth, mild bad breath.","Brush teeth with pet-safe toothpaste.
provide dental chews or toys.",Virbac enzymatic toothpaste
Rabies,A fatal viral disease transmitted via bites from infected animals.,"Behavioral changes, excessive salivation, paralysis.",No information available.,No information available.
Sunburn,"Mild skin irritation from sun exposure, common in light-colored pets.","Redness, warmth to the touch, mild discomfort.","Apply pet-safe sunscreen to exposed areas.
avoid direct sun exposure during peak hours.",No information available.
Anal gland issues,Glands near the anus become slightly clogged.,"Scooting, licking at the area, mild swelling.","Use a warm compress on the area.
ensure a high-fiber diet to promote natural emptying.",No information available.
Bruising,"Small, non-painful bruises from minor trauma.","Discoloration, mild tenderness.",Apply a cold compress to reduce swelling.,No information available.
Motion sickness,Discomfort during car rides or travel.,"Drooling, whining, vomiting.","Avoid feeding before travel.
use anti-nausea treats or medications as directed.",No information available.
Parvovirus,A highly contagious viral infection commonly among dogs. spread through direct or indirect contact with feces.,"Severe vomiting, diarrhea (often bloody), lethargy, fever.",No information available.,No information available.
Heartworm disease,A parasitic disease spread by mosquitoes.,"Coughing, fatigue, weight loss, difficulty breathing.",No information available.,No information available.
Osteoarthritis and rheumatoid arthritis,Arthritis occurs when the cartilage within a joint becomes damaged. eventually an arthritic joint becomes inflamed and painful.,"Reduced mobility, abnormal posture, abnormal grooming, changes in temperament, muscle atrophy.","Exercise is important as it maintains strength in the muscles.                    pharmaceuticals like nonsteroidal anti-inflammatories can be used as treatment.             diet, acupuncture, and water therapy are effictive too.",No information available.
Hypothermia,A drop in body temperature from exposure to cold weather.,"Shivering, lethargy, cold ears or paws.","Warm the pet gradually with blankets.
offer warm (not hot) water to drink.",No information available.
Tetanus (lockjaw),"A bacterial infection from wounds, causing muscle stiffness.","Stiffness, difficulty eating or moving, seizures.",No information available.,No information available.
Hyperthermia (heat exhaustion),Overheating due to high temperatures or excessive activity.,"Panting, drooling, mild weakness.","Move to a cooler area.
offer small amounts of cool water.
use a damp cloth to cool the body.",No information available.
Sprains or strains,Slight muscle or ligament injury from play or jumping.,"Limping, mild swelling, reluctance to move.","Rest the pet for 1–2 days.
apply a cold compress to reduce swelling.",No information available.
Ear infections,Mild inflammation of the ear canal.,"Mild redness, odor, head shaking, scratching at ears.","Clean the ear with a vet-recommended ear cleaner.
monitor for worsening symptoms.",Vethub otic pet ear cleanser
Bladder irritation,Temporary discomfort due to mild urinary issues.,"Frequent urination, straining, small puddles of urine.","Increase water intake.
provide wet food to maintain hydration.","Whiskas tuna pouch wet cat food, pedigree dog food wet food"
Anemia,"Low red blood cell levels due to trauma, parasites, or disease.","Pale gums, weakness, rapid breathing, collapse.",No information available.,No information available.
Dehydration,"Insufficient water intake, often after mild activity or heat exposure.","Dry gums, less elastic skin, reduced energy.","Offer fresh, clean water frequently.
use electrolyte solutions for pets if needed.",No information available.
Hair loss,"Non-serious hair thinning due to grooming, mild allergies, or seasonal changes.","Small patches of hair loss, no open sores.","Brush regularly to promote healthy skin.
address allergens if identified.",No information available.
Leptospirosis,"A bacterial infection affecting the kidneys and liver, transmissible to humans.","Fever, vomiting, muscle pain, jaundice.",No information available.,No information available.
Whisker fatigue,Stress from overstimulation of whiskers.,"Avoidance of food/water bowls, nervous behavior.","Use wide, shallow bowls for food and water.",No information available.
Dull coat,Lackluster fur due to poor nutrition or mild dehydration.,"Coarse, dry fur and mild shedding.","Add fish oil or omega-3 supplements to the diet.
brush regularly to distribute natural oils.",Pet one wild salmon steak
Kennel cough,"An infectious form of canine bronchitis characterized by a harsh, hacking cough that many people describe as sounding like something is “stuck in the throat.”",Loud and continuous cough,Give cough suppressants.,Pneumex respiratory comfort
"Acute gastroenteritis
(stomach flu)","Acute gastroenteritis is a sudden disruption in the digestive system’s normal function. it’s usually caused by viruses, bacteria, or parasites that enter the digestive system via contaminated external sources or due to natural causes. in some cases, it can lead to dehydration or severe illness, requiring hospitalization.","Vomiting, diarrhea, lethargy, abdominal pain(dogs resist to touched their stomach), dehydration.",No information available.,No information available.
Seborrhea,Excessive oil production on the skin,"Flaky skin, odor, greasy fur",Use medicated kind of shampoos,Sentry non-toxic dog and cat herbal shampoo
Feline gingivitis,"Inflammation of the gums, might lead to more severe dental disease.","Red, swollen gums, bad breath and difficulty eating","Brush your cat's teeth regularly
offer dental treats","Pedigree dentastix, brit care functional semi-moist snack dental cat treats"
Folicular cyst,"A benign cyst commonly on dogs that is formed in the hair follicles, oftern appearing on the skin","Small, firm lumps under the skin, sometimes hair loss or irritation.","Avoid bursting the cyst of your pet
if the cyst bursts or becomes infected, clean it and seek veterinary care for proper treatment.",No information available.
